signal,scheme,bin_lo,bin_hi,metric,group,n_windows,n_models,median,q25,q75,file_mean,file_sd
Drift_Harmonic,rel_mae,0.05,0.1,freq,Local receptive field,48495,3,0.00030743809205924233,4.5705894055170226e-05,0.002099000350475777,0.0011581059848273711,0.0015030342219840853
Drift_Harmonic,rel_mae,0.05,0.1,freq,Global attention,16543,1,0.00015055108263895,1.461468841573721e-05,0.0007888014521524322,0.0009109324681249957,0.001669857356947945
Drift_Harmonic,rel_mae,0.05,0.1,freq,Decomposition,1977,1,0.00023962906678831608,6.561243015501539e-05,0.0012458793996849016,0.0011113354045318732,0.0014894160512856185
Drift_Harmonic,rel_mae,0.05,0.1,freq,Linear and MLP,16718,2,0.00026713669316957844,5.470521964054398e-05,0.0010205904424664125,0.0015289072622413852,0.001821000288127157
Drift_Harmonic,rel_mae,0.1,0.2,phase,Local receptive field,44881,4,1.960039308725958,1.212798233406059,4.48184832649214,3.5134170948020595,1.5701760336507906
Drift_Harmonic,rel_mae,0.1,0.2,phase,Global attention,10469,1,3.3015106625264066,2.089785499363946,5.028451617980014,3.5118623775850404,1.1582087158910241
Drift_Harmonic,rel_mae,0.1,0.2,phase,Decomposition,1503,2,2.0918798637973017,1.42160903254308,3.2749897099106313,3.3065225051039695,3.475570835506902
Drift_Harmonic,rel_mae,0.1,0.2,phase,Linear and MLP,5669,3,5.569182166846972,3.8052739469545047,7.4275617306917034,7.767017107816881,3.738307411600793
Drift_Harmonic,rel_mae,0.1,0.2,freq,Local receptive field,44881,4,0.0002626716117559713,5.360047964297898e-05,0.0015211261851183489,0.0017019029987880088,0.002292798282354823
Drift_Harmonic,rel_mae,0.1,0.2,freq,Global attention,10469,1,0.00012840988944862186,1.914755217680142e-05,0.0009398426301485685,0.0010695566139245134,0.0017444447759955009
Drift_Harmonic,rel_mae,0.1,0.2,freq,Decomposition,1503,2,0.00033570492764933846,9.108605576263473e-05,0.0014927590444457906,0.0017455871288324287,0.0023717396037853
Drift_Harmonic,rel_mae,0.1,0.2,freq,Linear and MLP,5669,3,0.0008961488262894113,0.00015473285840617024,0.003807044617765487,0.006021623971987035,0.004726525604706811
Drift_Harmonic,rel_mae,0.2,inf,phase,Local receptive field,47405,4,3.1234810894193363,1.4615381805404717,15.003955673559593,29.354034926887344,15.578115840325017
Drift_Harmonic,rel_mae,0.2,inf,phase,Global attention,15054,1,9.68025176449158,5.30989220605101,37.94759563536584,27.802389059448426,2.315369810963688
Drift_Harmonic,rel_mae,0.2,inf,phase,Decomposition,176759,4,71.1746375970301,45.41663305179763,85.13800984733996,60.31226439948814,21.269655434254123
Drift_Harmonic,rel_mae,0.2,inf,phase,Linear and MLP,67333,3,46.478839333658655,31.080676305074316,74.23338819635383,39.15977203116545,17.864491252982123
Drift_Harmonic,rel_mae,0.2,inf,freq,Local receptive field,47405,4,0.0007053616842027655,9.466188727924596e-05,0.005558283437931522,0.02857769150423799,0.017256014893466644
Drift_Harmonic,rel_mae,0.2,inf,freq,Global attention,15054,1,0.0014431793370273116,0.00015348030026929305,0.01099919398253299,0.05791044460063681,0.01030932659926565
Drift_Harmonic,rel_mae,0.2,inf,freq,Decomposition,176757,4,0.06171461108525034,0.017646653997202555,0.08202387335361783,0.08851002694898628,0.07802009042640431
Drift_Harmonic,rel_mae,0.2,inf,freq,Linear and MLP,67333,3,0.02963886891501133,0.014562279896895292,0.07219138450530949,0.032315263283886696,0.019761065366645042
Drift_Harmonic,abs_mae_0_0.03,0.0,0.03,phase,Local receptive field,193860,4,1.451275409899265,0.9595426462238731,2.989888725776988,6.686970369673153,3.1409277251311774
Drift_Harmonic,abs_mae_0_0.03,0.0,0.03,phase,Global attention,56432,1,2.701097539621986,1.730244824388419,5.128485322430088,9.292337931628145,1.254078946544463
Drift_Harmonic,abs_mae_0_0.03,0.0,0.03,phase,Decomposition,80850,4,0.6574695805546182,0.3552316025159843,47.81912931140785,54.55872659364421,33.53545267118067
Drift_Harmonic,abs_mae_0_0.03,0.0,0.03,phase,Linear and MLP,123100,3,0.7728163991090777,0.09197814052582624,3.079591119573702,21.58608526408387,26.271151417111795
Drift_Harmonic,abs_mae_0_0.03,0.0,0.03,freq,Local receptive field,193860,4,0.00020708179697054296,3.527156574431589e-05,0.0014143459492987898,0.004702359371779025,0.001993605339446151
Drift_Harmonic,abs_mae_0_0.03,0.0,0.03,freq,Global attention,56432,1,0.00022805282753840528,2.8346148662261594e-05,0.0016191618687069753,0.01599659598224876,0.0027548279050996966
Drift_Harmonic,abs_mae_0_0.03,0.0,0.03,freq,Decomposition,80848,4,0.00033373501080768975,3.7704582556308264e-05,0.02449176006079981,0.11249560546528517,0.13825935104859127
Drift_Harmonic,abs_mae_0_0.03,0.0,0.03,freq,Linear and MLP,123100,3,7.405904824342446e-05,1.0064903235573741e-05,0.0009131310517861979,0.017764940783220905,0.025381647433025806
Single_Phase_Modulation,rel_mae,0.0,0.05,phase,Local receptive field,141,2,1.4168847884788438,1.1961118937484612,1.7653882009481496,1.849802648023857,0.46722861019306094
Single_Phase_Modulation,rel_mae,0.0,0.05,phase,Linear and MLP,36,1,1.9803596642003813,1.883604508138445,2.089402883747451,1.9936224599907446,
Single_Phase_Modulation,rel_mae,0.0,0.05,freq,Local receptive field,141,2,0.00039875912420517245,0.0003468486154736272,0.0005173526574868692,0.00035669312196045855,0.00011640129278827183
Single_Phase_Modulation,rel_mae,0.0,0.05,freq,Linear and MLP,36,1,0.00014939905519967267,7.29784444525039e-05,0.00025091019339734677,0.00020499782503587602,
Single_Phase_Modulation,rel_mae,0.05,0.1,phase,Local receptive field,41039,3,3.3335471684911497,2.775584071393185,4.021349679062187,3.596568376295183,0.6590511313884867
Single_Phase_Modulation,rel_mae,0.05,0.1,phase,Decomposition,51,1,3.625156773224399,3.3521948138204993,4.0336656643813775,3.8425874665181343,0.282456054323338
Single_Phase_Modulation,rel_mae,0.05,0.1,phase,Linear and MLP,13982,1,3.485201102503082,2.9473854588322173,4.0721176101379575,3.709002010298742,0.4745788096457763
Single_Phase_Modulation,rel_mae,0.05,0.1,freq,Local receptive field,41039,3,0.0003238117056649781,0.00013083292423032855,0.0006852668130634676,0.000459059170849681,0.0005443737122520148
Single_Phase_Modulation,rel_mae,0.05,0.1,freq,Decomposition,51,1,0.00024739156459874234,0.00018966680481335985,0.00028896698988922775,0.0002482020608425755,1.1209669624451717e-05
Single_Phase_Modulation,rel_mae,0.05,0.1,freq,Linear and MLP,13982,1,0.000154920382893331,7.302191232899657e-05,0.0003561792041276157,0.0003495100356632767,0.00047591498088238093
Single_Phase_Modulation,rel_mae,0.1,0.2,phase,Local receptive field,85321,4,6.406723834502529,4.663174754156121,8.406574857093299,6.432944872170343,2.088248023241215
Single_Phase_Modulation,rel_mae,0.1,0.2,phase,Decomposition,12049,1,7.040739815948719,6.091746143562108,8.026390557613485,7.502468718259008,0.8038945769077888
Single_Phase_Modulation,rel_mae,0.1,0.2,phase,Linear and MLP,29356,1,6.627665667118089,5.392057071164684,8.272152248707268,7.097779724665682,1.0700342435155854
Single_Phase_Modulation,rel_mae,0.1,0.2,freq,Local receptive field,85321,4,0.00028590032271191834,9.679697436126844e-05,0.0005960970396760024,0.0007882159010783382,0.0014745949988275902
Single_Phase_Modulation,rel_mae,0.1,0.2,freq,Decomposition,12049,1,0.0005686346548294807,0.00024591072102975176,0.0011374499698677543,0.0008444965211049542,0.0007522303429410596
Single_Phase_Modulation,rel_mae,0.1,0.2,freq,Linear and MLP,29356,1,0.0003371767965707484,0.00011435867149747758,0.000893774648203921,0.0009601423726986315,0.0016805050295780086
Single_Phase_Modulation,rel_mae,0.2,inf,phase,Local receptive field,101339,4,13.741350461071058,6.940514672089019,22.892097642212583,15.429123049681579,8.162972822326596
Single_Phase_Modulation,rel_mae,0.2,inf,phase,Global attention,56960,1,60.91045514837259,48.575591757276115,72.87900868484836,61.36893158561662,18.59030805739951
Single_Phase_Modulation,rel_mae,0.2,inf,phase,Decomposition,215740,4,49.936920923037064,24.843401896885506,67.52128256680307,47.241348085012625,25.756004682131334
Single_Phase_Modulation,rel_mae,0.2,inf,phase,Linear and MLP,127506,3,47.101666656350034,33.874420228906445,67.79048600892025,44.62373918528213,26.58765203091676
Single_Phase_Modulation,rel_mae,0.2,inf,freq,Local receptive field,101339,4,0.00042449670378730264,0.00011702186092560352,0.0012719413756651088,0.0015065993089318707,0.002469169225895891
Single_Phase_Modulation,rel_mae,0.2,inf,freq,Global attention,56960,1,0.03138473169203648,0.00268283101586958,0.09602703656452466,0.06114347484198203,0.06627755250938817
Single_Phase_Modulation,rel_mae,0.2,inf,freq,Decomposition,215298,4,0.009917332000165424,0.0019931196112215055,0.07373186856032393,0.04316863224623732,0.05684556154944952
Single_Phase_Modulation,rel_mae,0.2,inf,freq,Linear and MLP,127506,3,0.011327984820754422,0.0021687669048084113,0.06338428313602634,0.027208281353431604,0.03616805831889537
Single_Phase_Modulation,abs_mae_0_0.03,0.0,0.03,phase,Local receptive field,203265,4,6.020317256913037,3.5621115037419173,9.998997798902836,8.156029913021662,3.9885252970432967
Single_Phase_Modulation,abs_mae_0_0.03,0.0,0.03,phase,Decomposition,47503,3,11.029568802097632,8.045925307149204,14.824512935983531,12.732404100200561,3.333236898070589
Single_Phase_Modulation,abs_mae_0_0.03,0.0,0.03,phase,Linear and MLP,54473,2,6.359321370974073,4.294427434671523,9.704861164327884,8.54104807867824,4.344177718514981
Single_Phase_Modulation,abs_mae_0_0.03,0.0,0.03,freq,Local receptive field,203265,4,0.00030574130446936465,0.00010214110618345096,0.0007175309422504661,0.0009563231863535168,0.001737992661445127
Single_Phase_Modulation,abs_mae_0_0.03,0.0,0.03,freq,Decomposition,47503,3,0.0008032892713443207,0.0003103695229477732,0.0017813644471431633,0.0016485066226620026,0.0017982445938428346
Single_Phase_Modulation,abs_mae_0_0.03,0.0,0.03,freq,Linear and MLP,54473,2,0.000274784364959868,9.752538874407968e-05,0.0007675463428473694,0.0010231704839360266,0.001703617251447114
Dual_Phase_Modulation,rel_mae,0.0,0.05,phase,Local receptive field,409,3,1.9231246872495436,1.6487808615145707,2.2252200097099544,2.174344348189993,0.45012715062416353
Dual_Phase_Modulation,rel_mae,0.0,0.05,freq,Local receptive field,409,3,6.620460849049437e-05,2.6241157034645468e-05,0.00016642759382756722,0.00047917413881413083,0.0014265121396060834
Dual_Phase_Modulation,rel_mae,0.05,0.1,phase,Local receptive field,49448,4,3.7970547492416435,3.1564630125816713,4.519076645091363,4.161337090209678,0.5931707137773731
Dual_Phase_Modulation,rel_mae,0.05,0.1,freq,Local receptive field,49448,4,0.00022526119390681165,6.82553340959624e-05,0.0008883665728771639,0.010397245098278544,0.02650224571354853
Dual_Phase_Modulation,rel_mae,0.1,0.2,phase,Local receptive field,86709,4,6.766615028475936,5.298455369607692,8.64897280681527,6.720940278809768,1.4764247679127471
Dual_Phase_Modulation,rel_mae,0.1,0.2,freq,Local receptive field,86709,4,0.0009194166208619237,0.00022090303344812767,0.00541597013301609,0.017184586279480104,0.03571641923912604
Dual_Phase_Modulation,rel_mae,0.2,inf,phase,Local receptive field,91274,4,13.026443798695272,8.649164701600133,19.182508140790357,16.484477254615,6.697637116135586
Dual_Phase_Modulation,rel_mae,0.2,inf,phase,Global attention,56960,1,75.94539836715688,62.03540362410769,89.50706924835168,75.18388635854194,15.936540366161667
Dual_Phase_Modulation,rel_mae,0.2,inf,phase,Decomposition,227840,4,69.46379954177257,54.62285824523178,86.17007274985102,70.82396033742697,18.234951743189836
Dual_Phase_Modulation,rel_mae,0.2,inf,phase,Linear and MLP,170880,3,58.90638358039941,44.10013950820611,73.70839240634669,59.98984758408436,18.775896304067484
Dual_Phase_Modulation,rel_mae,0.2,inf,freq,Local receptive field,91274,4,0.002872631732836861,0.00045717783292834047,0.017414575861891962,0.034994779712333474,0.0523218945755049
