idx	model	paradigm	condition	signal	seed	out
52	ModernTCN	real_ppg_B		DaLiA	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/ModernTCN/seed2022/pred.npy
53	ModernTCN	real_ppg_B		DaLiA	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/ModernTCN/seed2023/pred.npy
54	PatchTST	real_ppg_B		BIDMC	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/PatchTST/seed2021/pred.npy
55	PatchTST	real_ppg_B		BIDMC	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/PatchTST/seed2022/pred.npy
56	PatchTST	real_ppg_B		BIDMC	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/PatchTST/seed2023/pred.npy
57	PatchTST	real_ppg_B		DaLiA	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/PatchTST/seed2021/pred.npy
58	PatchTST	real_ppg_B		DaLiA	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/PatchTST/seed2022/pred.npy
59	PatchTST	real_ppg_B		DaLiA	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/PatchTST/seed2023/pred.npy
60	Transformer	real_ppg_B		BIDMC	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/Transformer/seed2021/pred.npy
61	Transformer	real_ppg_B		BIDMC	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/Transformer/seed2022/pred.npy
62	Transformer	real_ppg_B		BIDMC	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/Transformer/seed2023/pred.npy
63	Transformer	real_ppg_B		DaLiA	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/Transformer/seed2021/pred.npy
64	Transformer	real_ppg_B		DaLiA	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/Transformer/seed2022/pred.npy
65	Transformer	real_ppg_B		DaLiA	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/Transformer/seed2023/pred.npy
66	Autoformer	real_ppg_B		BIDMC	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/Autoformer/seed2021/pred.npy
67	Autoformer	real_ppg_B		BIDMC	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/Autoformer/seed2022/pred.npy
68	Autoformer	real_ppg_B		BIDMC	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/Autoformer/seed2023/pred.npy
69	Autoformer	real_ppg_B		DaLiA	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/Autoformer/seed2021/pred.npy
70	Autoformer	real_ppg_B		DaLiA	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/Autoformer/seed2022/pred.npy
71	Autoformer	real_ppg_B		DaLiA	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/Autoformer/seed2023/pred.npy
72	TimesNet	real_ppg_B		BIDMC	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/TimesNet/seed2021/pred.npy
73	TimesNet	real_ppg_B		BIDMC	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/TimesNet/seed2022/pred.npy
74	TimesNet	real_ppg_B		BIDMC	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/TimesNet/seed2023/pred.npy
75	TimesNet	real_ppg_B		DaLiA	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/TimesNet/seed2021/pred.npy
76	TimesNet	real_ppg_B		DaLiA	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/TimesNet/seed2022/pred.npy
77	TimesNet	real_ppg_B		DaLiA	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/TimesNet/seed2023/pred.npy
78	TSMixer	real_ppg_B		BIDMC	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/TSMixer/seed2021/pred.npy
79	TSMixer	real_ppg_B		BIDMC	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/TSMixer/seed2022/pred.npy
80	TSMixer	real_ppg_B		BIDMC	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/TSMixer/seed2023/pred.npy
81	TSMixer	real_ppg_B		DaLiA	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/TSMixer/seed2021/pred.npy
82	TSMixer	real_ppg_B		DaLiA	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/TSMixer/seed2022/pred.npy
83	TSMixer	real_ppg_B		DaLiA	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/TSMixer/seed2023/pred.npy
84	SeasonalNaive	real_ppg_B		BIDMC	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/SeasonalNaive/seed2021/pred.npy
85	SeasonalNaive	real_ppg_B		BIDMC	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/SeasonalNaive/seed2022/pred.npy
86	SeasonalNaive	real_ppg_B		BIDMC	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/BIDMC/SeasonalNaive/seed2023/pred.npy
87	SeasonalNaive	real_ppg_B		DaLiA	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/SeasonalNaive/seed2021/pred.npy
88	SeasonalNaive	real_ppg_B		DaLiA	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/SeasonalNaive/seed2022/pred.npy
89	SeasonalNaive	real_ppg_B		DaLiA	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ppg_B/DaLiA/SeasonalNaive/seed2023/pred.npy
90	Linear	real_ecg_B		NSRDB	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/NSRDB/Linear/seed2021/pred.npy
91	Linear	real_ecg_B		NSRDB	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/NSRDB/Linear/seed2022/pred.npy
92	Linear	real_ecg_B		NSRDB	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/NSRDB/Linear/seed2023/pred.npy
93	Linear	real_ecg_B		AFDB	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/AFDB/Linear/seed2021/pred.npy
94	Linear	real_ecg_B		AFDB	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/AFDB/Linear/seed2022/pred.npy
95	Linear	real_ecg_B		AFDB	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/AFDB/Linear/seed2023/pred.npy
96	DLinear	real_ecg_B		NSRDB	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/NSRDB/DLinear/seed2021/pred.npy
97	DLinear	real_ecg_B		NSRDB	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/NSRDB/DLinear/seed2022/pred.npy
98	DLinear	real_ecg_B		NSRDB	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/NSRDB/DLinear/seed2023/pred.npy
99	DLinear	real_ecg_B		AFDB	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/AFDB/DLinear/seed2021/pred.npy
100	DLinear	real_ecg_B		AFDB	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/AFDB/DLinear/seed2022/pred.npy
101	DLinear	real_ecg_B		AFDB	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/AFDB/DLinear/seed2023/pred.npy
102	FITS	real_ecg_B		NSRDB	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/NSRDB/FITS/seed2021/pred.npy
103	FITS	real_ecg_B		NSRDB	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/NSRDB/FITS/seed2022/pred.npy
104	FITS	real_ecg_B		NSRDB	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/NSRDB/FITS/seed2023/pred.npy
105	FITS	real_ecg_B		AFDB	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/AFDB/FITS/seed2021/pred.npy
106	FITS	real_ecg_B		AFDB	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/AFDB/FITS/seed2022/pred.npy
107	FITS	real_ecg_B		AFDB	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/AFDB/FITS/seed2023/pred.npy
108	MLinear	real_ecg_B		NSRDB	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/NSRDB/MLinear/seed2021/pred.npy
109	MLinear	real_ecg_B		NSRDB	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/NSRDB/MLinear/seed2022/pred.npy
110	MLinear	real_ecg_B		NSRDB	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/NSRDB/MLinear/seed2023/pred.npy
111	MLinear	real_ecg_B		AFDB	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/AFDB/MLinear/seed2021/pred.npy
112	MLinear	real_ecg_B		AFDB	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/AFDB/MLinear/seed2022/pred.npy
113	MLinear	real_ecg_B		AFDB	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/AFDB/MLinear/seed2023/pred.npy
114	NBeats	real_ecg_B		NSRDB	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/NSRDB/NBeats/seed2021/pred.npy
115	NBeats	real_ecg_B		NSRDB	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/NSRDB/NBeats/seed2022/pred.npy
116	NBeats	real_ecg_B		NSRDB	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/NSRDB/NBeats/seed2023/pred.npy
117	NBeats	real_ecg_B		AFDB	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/AFDB/NBeats/seed2021/pred.npy
118	NBeats	real_ecg_B		AFDB	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/AFDB/NBeats/seed2022/pred.npy
119	NBeats	real_ecg_B		AFDB	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/AFDB/NBeats/seed2023/pred.npy
120	FreMLP	real_ecg_B		NSRDB	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/NSRDB/FreMLP/seed2021/pred.npy
121	FreMLP	real_ecg_B		NSRDB	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/NSRDB/FreMLP/seed2022/pred.npy
122	FreMLP	real_ecg_B		NSRDB	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/NSRDB/FreMLP/seed2023/pred.npy
123	FreMLP	real_ecg_B		AFDB	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/AFDB/FreMLP/seed2021/pred.npy
124	FreMLP	real_ecg_B		AFDB	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/AFDB/FreMLP/seed2022/pred.npy
125	FreMLP	real_ecg_B		AFDB	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/AFDB/FreMLP/seed2023/pred.npy
126	MICN_Mean	real_ecg_B		NSRDB	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/NSRDB/MICN_Mean/seed2021/pred.npy
127	MICN_Mean	real_ecg_B		NSRDB	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/NSRDB/MICN_Mean/seed2022/pred.npy
128	MICN_Mean	real_ecg_B		NSRDB	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/NSRDB/MICN_Mean/seed2023/pred.npy
129	MICN_Mean	real_ecg_B		AFDB	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/AFDB/MICN_Mean/seed2021/pred.npy
130	MICN_Mean	real_ecg_B		AFDB	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/AFDB/MICN_Mean/seed2022/pred.npy
131	MICN_Mean	real_ecg_B		AFDB	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/AFDB/MICN_Mean/seed2023/pred.npy
132	MICN_Regre	real_ecg_B		NSRDB	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/NSRDB/MICN_Regre/seed2021/pred.npy
133	MICN_Regre	real_ecg_B		NSRDB	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/NSRDB/MICN_Regre/seed2022/pred.npy
134	MICN_Regre	real_ecg_B		NSRDB	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/NSRDB/MICN_Regre/seed2023/pred.npy
135	MICN_Regre	real_ecg_B		AFDB	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/AFDB/MICN_Regre/seed2021/pred.npy
136	MICN_Regre	real_ecg_B		AFDB	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/AFDB/MICN_Regre/seed2022/pred.npy
137	MICN_Regre	real_ecg_B		AFDB	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/AFDB/MICN_Regre/seed2023/pred.npy
138	ModernTCN	real_ecg_B		NSRDB	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/NSRDB/ModernTCN/seed2021/pred.npy
139	ModernTCN	real_ecg_B		NSRDB	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/NSRDB/ModernTCN/seed2022/pred.npy
140	ModernTCN	real_ecg_B		NSRDB	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/NSRDB/ModernTCN/seed2023/pred.npy
141	ModernTCN	real_ecg_B		AFDB	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/real_ecg_B/AFDB/ModernTCN/seed2021/pred.npy
