idx	model	paradigm	condition	signal	seed	out
70	ModernTCN	tier2_ppg		PPG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/ModernTCN/seed2022/pred.npy
71	ModernTCN	tier2_ppg		PPG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/ModernTCN/seed2023/pred.npy
72	PatchTST	tier2_ppg		PPG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/PatchTST/seed2021/pred.npy
73	PatchTST	tier2_ppg		PPG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/PatchTST/seed2022/pred.npy
74	PatchTST	tier2_ppg		PPG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/PatchTST/seed2023/pred.npy
75	Transformer	tier2_ppg		PPG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/Transformer/seed2021/pred.npy
76	Transformer	tier2_ppg		PPG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/Transformer/seed2022/pred.npy
77	Transformer	tier2_ppg		PPG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/Transformer/seed2023/pred.npy
78	Autoformer	tier2_ppg		PPG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/Autoformer/seed2021/pred.npy
79	Autoformer	tier2_ppg		PPG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/Autoformer/seed2022/pred.npy
80	Autoformer	tier2_ppg		PPG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/Autoformer/seed2023/pred.npy
81	TimesNet	tier2_ppg		PPG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/TimesNet/seed2021/pred.npy
82	TimesNet	tier2_ppg		PPG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/TimesNet/seed2022/pred.npy
83	TimesNet	tier2_ppg		PPG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/TimesNet/seed2023/pred.npy
84	TSMixer	tier2_ppg		PPG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/TSMixer/seed2021/pred.npy
85	TSMixer	tier2_ppg		PPG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/TSMixer/seed2022/pred.npy
86	TSMixer	tier2_ppg		PPG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/TSMixer/seed2023/pred.npy
87	SeasonalNaive	tier2_ppg		PPG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/SeasonalNaive/seed2021/pred.npy
88	SeasonalNaive	tier2_ppg		PPG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/SeasonalNaive/seed2022/pred.npy
89	SeasonalNaive	tier2_ppg		PPG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ppg/PPG/SeasonalNaive/seed2023/pred.npy
90	Linear	tier2_eeg		EEG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/Linear/seed2021/pred.npy
91	Linear	tier2_eeg		EEG	2022	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_eeg/EEG/Linear/seed2022/pred.npy
