idx	model	paradigm	condition	signal	seed	out
48	FITS	tier2_ecg	SNR_1	ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_1/ECG/FITS/seed2023/pred.npy
49	FITS	tier2_ecg	SNR_2	ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_2/ECG/FITS/seed2023/pred.npy
50	FITS	tier2_ecg	SNR_3	ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_3/ECG/FITS/seed2023/pred.npy
51	FITS	tier2_ecg	SNR_4	ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_4/ECG/FITS/seed2023/pred.npy
52	FITS	tier2_ecg	SNR_5	ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_5/ECG/FITS/seed2023/pred.npy
53	FITS	tier2_ecg	SNR_6	ECG	2023	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_6/ECG/FITS/seed2023/pred.npy
54	MLinear	tier2_ecg	SNR_1	ECG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_1/ECG/MLinear/seed2021/pred.npy
55	MLinear	tier2_ecg	SNR_2	ECG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_2/ECG/MLinear/seed2021/pred.npy
56	MLinear	tier2_ecg	SNR_3	ECG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_3/ECG/MLinear/seed2021/pred.npy
57	MLinear	tier2_ecg	SNR_4	ECG	2021	/uufs/sci.utah.edu/projects/medvic-lab/Rakib/Time_Series/TimeSynth_runs/revision/results/tier2_ecg__SNR_4/ECG/MLinear/seed2021/pred.npy
